Comment,Designator,Footprint,LCSC Part #
0.1uF,C1,CAPC1005X60,C609894
1.5K 250mW,R21,RESC3216X70,C26030
2N7002PV,Q2,2N7002PV,C551422
4.7K,R1,RESC1005X40,C25900
4.7K,R6,RESC1005X40,C25900
4.7V,D3,SODFL2513X70,C22611
5.6V,D2,SODFL2513X70,C22612
10uF,C2,CAPC1005X60,C15525
15V,D5,SODFL2513X70,C17283
30V Schottky 350mV,D4,SOD523(SC79),C703626
33uF,C16,CAPC3216X135,C342307
47K,R10,RESC1005X40,C25792
47K,R11,RESC1005X40,C25792
47uF,C3,CAPC2012X110,C16780
100uF 16V,C4,CAPC3225X270N,C90143
100uF 16V,C5,CAPC3225X270N,C90143
100uF 16V,C6,CAPC3225X270N,C90143
100uF 16V,C7,CAPC3225X270N,C90143
100uF 16V,C8,CAPC3225X270N,C90143
100uF 16V,C9,CAPC3225X270N,C90143
100uF 16V,C10,CAPC3225X270N,C90143
100uF 16V,C11,CAPC3225X270N,C90143
100uF 16V,C12,CAPC3225X270N,C90143
100uF 16V,C13,CAPC3225X270N,C90143
100uF 16V,C14,CAPC3225X270N,C90143
100uF 16V,C15,CAPC3225X270N,C90143
470R,R2,RESC1005X40,C25117
470R,R3,RESC1005X40,C25117
470R,R4,RESC1005X40,C25117
470R,R5,RESC1005X40,C25117
470R,R7,RESC1005X40,C25117
470R,R8,RESC1005X40,C25117
470R,R9,RESC1005X40,C25117
470R,R12,RESC1005X40,C25117
470R,R13,RESC1005X40,C25117
470R,R14,RESC1005X40,C25117
470R,R15,RESC1005X40,C25117
470R,R16,RESC1005X40,C25117
470R,R17,RESC1005X40,C25117
470R,R18,RESC1005X40,C25117
470R,R19,RESC1005X40,C25117
470R,R20,RESC1005X40,C25117
ATTINY1616-MNR,IC1,QFN40P300X300X90-21N,C507118
BAS4002A-RPP,D1,SOT143,C3589694
NPN,Q1,SC70,C6802847
SMD_LED_3014,LED1,SMD_LED_3014,C210340
SMD_LED_3014,LED2,SMD_LED_3014,C210340
SMD_LED_3014,LED3,SMD_LED_3014,C210340
SMD_LED_3014,LED4,SMD_LED_3014,C210340
SMD_LED_3014,LED5,SMD_LED_3014,C210340
SMD_LED_3014,LED6,SMD_LED_3014,C210340
SMD_LED_3014,LED7,SMD_LED_3014,C210340
SMD_LED_3014,LED8,SMD_LED_3014,C210340
SMD_LED_3014,LED9,SMD_LED_3014,C210344
SMD_LED_3014,LED10,SMD_LED_3014,C210344
SMD_LED_3014,LED11,SMD_LED_3014,C210344
SMD_LED_3014,LED12,SMD_LED_3014,C210344
SMD_LED_3014,LED13,SMD_LED_3014,C210344
SMD_LED_3014,LED14,SMD_LED_3014,C210344
SMD_LED_3014,LED15,SMD_LED_3014,C210344
SMD_LED_3014,LED16,SMD_LED_3014,C210344
